variable,question,Touchpoint,Construct,Dashboard Role
T_SL2_7,Terdapat Smart Table pada kantor cabang.1,Service Electronics,Attribute Satisfaction,Drilldown
T_SL2_8,Smart Table dapat berfungsi dengan baik.1,Service Electronics,Attribute Satisfaction,Drilldown
T_SL2_9,Terdapat Pinpad pada area kerja CS.1,Service Electronics,Attribute Satisfaction,Drilldown
T_SL2_10,Pinpad dapat berfungsi dengan baik.2,Service Electronics,Attribute Satisfaction,Drilldown
T_SL2_11,Terdapat Pinpad pada area kerja Teller.1,Service Electronics,Attribute Satisfaction,Drilldown
T_SL2_12,Pinpad dapat berfungsi dengan baik.3,Service Electronics,Attribute Satisfaction,Drilldown
T_SL2_13,"Terdapat mesin CRM pada kantor cabang (CRM adalah mesin ATM yang memiliki fungsi ATM Tarikan Tunai, ATM Non Tunai, dan ATM Setoran Tunai).1",Service Electronics,Attribute Satisfaction,Drilldown
T_SL2_14,Mesin CRM dapat berfungsi dengan baik.1,Service Electronics,Attribute Satisfaction,Drilldown
T_SL2_15,Terdapat mesin TCR pada kantor cabang (TCR adalah mesin setor tunai di mana nasabah dapat melakukan setoran tunai secara mandiri di area toonbank teller).1,Service Electronics,Attribute Satisfaction,Drilldown
T_SL2_16,Mesin TCR dapat berfungsi dengan baik.1,Service Electronics,Attribute Satisfaction,Drilldown
T_SL2_17,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap SARANA ELEKTRONIK LAYANAN bank",Service Electronics,Overall Touchpoint Satisfaction,KPI
AT1,Apakah Anda pernah menggunakan ATM Bank XYZ dan ATM {0}?,,Usage,Other
T_AT2_1,Mesin ATMnya mudah ditemui dimana-mana,ATM,Attribute Satisfaction,Drilldown
T_AT2_2,"Ketersediaan berbagai jenis ATM (tunai, setor tunai, non tunai)",ATM,Attribute Satisfaction,Drilldown
T_AT2_3,"Fitur-fitur yang ada di mesin ATM lengkap: pembayaran berbagai macam tagihan, transfer antar bank dan pembelian",ATM,Attribute Satisfaction,Drilldown
T_AT2_4,Antrian di mesin ATM tidak panjang,ATM,Attribute Satisfaction,Drilldown
T_AT2_5,Saya merasa aman ketika bertransaksi menggunakan ATM karena dilengkapi dengan CCTV/ada sekuriti,ATM,Attribute Satisfaction,Drilldown
T_AT2_6,"Mesin ATM dapat berfungsi dengan baik ketika akan digunakan (tidak sering error, offline,struk selalu tersedia)",ATM,Attribute Satisfaction,Drilldown
T_AT2_7,Mesin ATMnya berada di lokasi yang aman (bukan di tempat yang sepi),ATM,Attribute Satisfaction,Drilldown
T_AT2_8,"Ruangan mesin ATMnya nyaman (sejuk, bersih, wangi)",ATM,Attribute Satisfaction,Drilldown
T_AT2_9,Menyediakan ATM dengan berbagai pilihan pecahan nominal (Rp 50.000/Rp 100.000),ATM,Attribute Satisfaction,Drilldown
T_AT2_10,Kartu ATMnya dapat digunakan untuk bertransaksi dan berbelanja,ATM,Attribute Satisfaction,Drilldown
T_AT2_11,Selalu meminta PIN setiap kali berganti transaksi untuk menjamin keamanan,ATM,Attribute Satisfaction,Drilldown
T_AT2_12,Kartu ATMnya bisa digunakan di ATM BERSAMA dan jaringan ATM lainnya,ATM,Attribute Satisfaction,Drilldown
T_AT2_13,Memiliki alarm yang mengingatkan jika kartu ATM belum diambil dari mesin ATM,ATM,Attribute Satisfaction,Drilldown
T_AT2_14,Disediakan nomor call center di mesin ATM yang bisa dihubungi,ATM,Attribute Satisfaction,Drilldown
T_AT2_15,Tersedia tempat sampah di bilik ATM,ATM,Attribute Satisfaction,Drilldown
T_AT2_16,Terdapat tutup pengaman di atas tombol/keypad untuk menjaga kerahasiaan nasabah saat memasukkan PIN,ATM,Attribute Satisfaction,Drilldown
T_AT2_17,Tersedia informasi untuk lokasi ATM terdekat,ATM,Attribute Satisfaction,Drilldown
T_AT2_18,Memiliki persediaan uang yang cukup,ATM,Attribute Satisfaction,Drilldown
T_AT3_2,Mesin ATMnya mudah ditemui dimana-mana - XYZ,ATM,Attribute Satisfaction,Drilldown
T_AT3_5,"Ketersediaan berbagai jenis ATM (tunai, setor tunai, non tunai)  - XYZ",ATM,Attribute Satisfaction,Drilldown
T_AT3_8,"Fitur-fitur yang ada di mesin ATM lengkap: pembayaran berbagai macam tagihan, transfer antar bank dan pembelian - XYZ",ATM,Attribute Satisfaction,Drilldown
T_AT3_11,Antrian di mesin ATM tidak panjang - XYZ,ATM,Attribute Satisfaction,Drilldown
T_AT3_14,Saya merasa aman ketika bertransaksi menggunakan ATM karena dilengkapi dengan CCTV/ada sekuriti - XYZ,ATM,Attribute Satisfaction,Drilldown
T_AT3_17,"Mesin ATM dapat berfungsi dengan baik ketika akan digunakan (tidak sering error, offline,struk selalu tersedia) - XYZ",ATM,Attribute Satisfaction,Drilldown
T_AT3_20,Mesin ATMnya berada di lokasi yang aman (bukan di tempat yang sepi) - XYZ,ATM,Attribute Satisfaction,Drilldown
T_AT3_23,"Ruangan mesin ATMnya nyaman (sejuk, bersih, wangi) - XYZ",ATM,Attribute Satisfaction,Drilldown
T_AT3_26,Menyediakan ATM dengan berbagai pilihan pecahan nominal (Rp 50.000/Rp 100.000) - XYZ,ATM,Attribute Satisfaction,Drilldown
T_AT3_29,Kartu ATMnya dapat digunakan untuk bertransaksi dan berbelanja - XYZ,ATM,Attribute Satisfaction,Drilldown
T_AT3_32,Selalu meminta PIN setiap kali berganti transaksi untuk menjamin keamanan - XYZ,ATM,Attribute Satisfaction,Drilldown
T_AT3_35,Kartu ATMnya bisa digunakan di ATM BERSAMA dan jaringan ATM lainnya - XYZ,ATM,Attribute Satisfaction,Drilldown
T_AT3_38,Memiliki alarm yang mengingatkan jika kartu ATM belum diambil dari mesin ATM - XYZ,ATM,Attribute Satisfaction,Drilldown
T_AT3_41,Disediakan nomor call center di mesin ATM yang bisa dihubungi - XYZ,ATM,Attribute Satisfaction,Drilldown
T_AT3_44,Tersedia tempat sampah di bilik ATM - XYZ,ATM,Attribute Satisfaction,Drilldown
T_AT3_47,Terdapat tutup pengaman di atas tombol/keypad untuk menjaga kerahasiaan nasabah saat memasukkan PIN - XYZ,ATM,Attribute Satisfaction,Drilldown
T_AT3_50,Tersedia informasi untuk lokasi ATM terdekat - XYZ,ATM,Attribute Satisfaction,Drilldown
T_AT3_53,Memiliki persediaan uang yang cukup - XYZ,ATM,Attribute Satisfaction,Drilldown
T_AT3_56,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap fasilitas ATM bank…. - XYZ",ATM,Overall Touchpoint Satisfaction,KPI
T_AT3_3,Mesin ATMnya mudah ditemui dimana-mana - kompetitor,ATM,Attribute Satisfaction,Drilldown
T_AT3_6,"Ketersediaan berbagai jenis ATM (tunai, setor tunai, non tunai)  - kompetitor",ATM,Attribute Satisfaction,Drilldown
T_AT3_9,"Fitur-fitur yang ada di mesin ATM lengkap: pembayaran berbagai macam tagihan, transfer antar bank dan pembelian - kompetitor",ATM,Attribute Satisfaction,Drilldown
T_AT3_12,Antrian di mesin ATM tidak panjang - kompetitor,ATM,Attribute Satisfaction,Drilldown
T_AT3_15,Saya merasa aman ketika bertransaksi menggunakan ATM karena dilengkapi dengan CCTV/ada sekuriti - kompetitor,ATM,Attribute Satisfaction,Drilldown
T_AT3_18,"Mesin ATM dapat berfungsi dengan baik ketika akan digunakan (tidak sering error, offline,struk selalu tersedia) - kompetitor",ATM,Attribute Satisfaction,Drilldown
T_AT3_21,Mesin ATMnya berada di lokasi yang aman (bukan di tempat yang sepi) - kompetitor,ATM,Attribute Satisfaction,Drilldown
T_AT3_24,"Ruangan mesin ATMnya nyaman (sejuk, bersih, wangi) - kompetitor",ATM,Attribute Satisfaction,Drilldown
T_AT3_27,Menyediakan ATM dengan berbagai pilihan pecahan nominal (Rp 50.000/Rp 100.000) - kompetitor,ATM,Attribute Satisfaction,Drilldown
T_AT3_30,Kartu ATMnya dapat digunakan untuk bertransaksi dan berbelanja - kompetitor,ATM,Attribute Satisfaction,Drilldown
T_AT3_33,Selalu meminta PIN setiap kali berganti transaksi untuk menjamin keamanan - kompetitor,ATM,Attribute Satisfaction,Drilldown
T_AT3_36,Kartu ATMnya bisa digunakan di ATM BERSAMA dan jaringan ATM lainnya - kompetitor,ATM,Attribute Satisfaction,Drilldown
T_AT3_39,Memiliki alarm yang mengingatkan jika kartu ATM belum diambil dari mesin ATM - kompetitor,ATM,Attribute Satisfaction,Drilldown
T_AT3_42,Disediakan nomor call center di mesin ATM yang bisa dihubungi - kompetitor,ATM,Attribute Satisfaction,Drilldown
T_AT3_45,Tersedia tempat sampah di bilik ATM - kompetitor,ATM,Attribute Satisfaction,Drilldown
T_AT3_48,Terdapat tutup pengaman di atas tombol/keypad untuk menjaga kerahasiaan nasabah saat memasukkan PIN - kompetitor,ATM,Attribute Satisfaction,Drilldown
T_AT3_51,Tersedia informasi untuk lokasi ATM terdekat - kompetitor,ATM,Attribute Satisfaction,Drilldown
T_AT3_54,Memiliki persediaan uang yang cukup - kompetitor,ATM,Attribute Satisfaction,Drilldown
T_AT3_57,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap fasilitas ATM bank…. - kompetitor",ATM,Overall Touchpoint Satisfaction,KPI
E1A,Tingkat Kepuasan terhadap XYZ,Overall,CSAT,KPI
E1AA,Mohon sebutkan alasan anda memberikan nilai {0},Overall,Open Ended,Text Analysis
E1B,Tingkat Kepuasan terhadap Bank kompetitor,Overall,CSAT,KPI
E1BB,Mohon sebutkan alasan anda memberikan nilai {0}.1,Overall,Open Ended,Text Analysis
F1A,Ke depannya saya pasti akan tetap menggunakan layanan dari Bank XYZ,Overall,Loyalty,KPI
F1B,Ke depannya saya pasti akan tetap menggunakan layanan dari bank…(kompetitor),Overall,Loyalty,KPI
G1A,NPS Bank XYZ,Overall,NPS,KPI
G1B,Apakah alasan Anda menjawab skala {0}?,Overall,Open Ended,Text Analysis
G1C,NPS bank kompetitor,Overall,NPS,KPI
G1D,Apakah alasan Anda menjawab skala {0}?.1,Overall,Open Ended,Text Analysis
T_H1A_2,"Ke depannya, saya pasti akan tetap menggunakan layanan dari Bank XYZ - XYZ",Overall,Loyalty,KPI
T_H1A_5,Memberikan saya kemudahan untuk bertransaksi dimana pun dan kapan pun - XYZ,Overall,Loyalty,KPI
T_H1A_8,Bank yang memudahkan saya untuk bertransaksi karena digunakan oleh banyak orang - XYZ,Overall,Loyalty,KPI
T_H1A_11,"Bank yang memberikan banyak keuntungan finansial (bunga lebih tinggi, biaya yang rendah, tanpa biaya administrasi, asuransi gratis) - XYZ",Overall,Loyalty,KPI
T_H1A_14,"Bank yang menawarkan produk untuk semua kebutuhan saya (tabungan regular, tabungan anak, tabungan rencana, tabungan dengan tambahan asuransi, tabungan haji, deposito, dan lain-lain) - XYZ",Overall,Loyalty,KPI
T_H1A_17,Bank yang memberikan promo sesuai dengan gaya hidup saya - XYZ,Overall,Loyalty,KPI
T_H1A_20,Memberikan saya kecepatan bertransaksi (real time ke semua bank dan pembayaran) - XYZ,Overall,Loyalty,KPI
T_H1A_23,Saya merasa aman menyimpan uang dan bertransaksi di bank ini - XYZ,Overall,Loyalty,KPI
T_H1A_26,"Saya merasa nyaman bertransaksi dengan bank ini dengan segala fasilitas yang diberikan (sistem antrian, e-channel, mesin setor tunai) - XYZ",Overall,Loyalty,KPI
T_H1A_29,"Saya merasa dihargai menjadi nasabah bank ini dengan layanan yang ramah, peduli, dan tidak membeda-bedakan - XYZ",Overall,Loyalty,KPI
T_H1A_32,Saya bangga menjadi nasabah bank ini dengan produk/layanan/promo yang berbeda yang tidak saya dapatkan dari bank lain - XYZ,Overall,Loyalty,KPI
T_H1A_35,Bank yang membuat saya merasa up to date/keren/modern - XYZ,Overall,Loyalty,KPI
T_H1A_38,Bank turun-temurun yang membantu keluarga saya dan mengajarkan saya menabung pertama kali - XYZ,Overall,Loyalty,KPI
T_H1A_41,Bank dengan segala produk dan fasilitas yang membuat saya merasa cukup dengan menjadi nasabah satu bank saja - XYZ.1,Overall,Loyalty,KPI
T_H1A_44,Bank ini membuat saya merasa prestigius/bergengsi - XYZ,Overall,Loyalty,KPI
T_H1A_3,"Ke depannya, saya pasti akan tetap menggunakan layanan dari bank … (kompetitor) - kompetitor",Overall,Loyalty,KPI
T_H1A_6,Memberikan saya kemudahan untuk bertransaksi dimana pun dan kapan pun - kompetitor,Overall,Loyalty,KPI
T_H1A_9,Bank yang memudahkan saya untuk bertransaksi karena digunakan oleh banyak orang - kompetitor,Overall,Loyalty,KPI
T_H1A_12,"Bank yang memberikan banyak keuntungan finansial (bunga lebih tinggi, biaya yang rendah, tanpa biaya administrasi, asuransi gratis) - kompetitor",Overall,Loyalty,KPI
T_H1A_15,"Bank yang menawarkan produk untuk semua kebutuhan saya (tabungan regular, tabungan anak, tabungan rencana, tabungan dengan tambahan asuransi, tabungan haji, deposito, dan lain-lain) - kompetitor",Overall,Loyalty,KPI
T_H1A_18,Bank yang memberikan promo sesuai dengan gaya hidup saya - kompetitor,Overall,Loyalty,KPI
T_H1A_21,Memberikan saya kecepatan bertransaksi (real time ke semua bank dan pembayaran) - kompetitor,Overall,Loyalty,KPI
T_H1A_24,Saya merasa aman menyimpan uang dan bertransaksi di bank ini - kompetitor,Overall,Loyalty,KPI
T_H1A_27,"Saya merasa nyaman bertransaksi dengan bank ini dengan segala fasilitas yang diberikan (sistem antrian, e-channel, mesin setor tunai) - kompetitor",Overall,Loyalty,KPI
T_H1A_30,"Saya merasa dihargai menjadi nasabah bank ini dengan layanan yang ramah, peduli, dan tidak membeda-bedakan - kompetitor",Overall,Loyalty,KPI
T_H1A_33,Saya bangga menjadi nasabah bank ini dengan produk/layanan/promo yang berbeda yang tidak saya dapatkan dari bank lain - kompetitor,Overall,Loyalty,KPI
T_H1A_36,Bank yang membuat saya merasa up to date/keren/modern - kompetitor,Overall,Loyalty,KPI
T_H1A_39,Bank turun-temurun yang membantu keluarga saya dan mengajarkan saya menabung pertama kali - kompetitor,Overall,Loyalty,KPI
T_H1A_42,Bank dengan segala produk dan fasilitas yang membuat saya merasa cukup dengan menjadi nasabah satu bank saja - kompetitor.1,Overall,Loyalty,KPI
T_H1A_45,Bank ini membuat saya merasa prestigius/bergengsi - kompetitor,Overall,Loyalty,KPI
T_I1A_2,Saya merasa Bahagia pada saat menggunakan layanan cabang - XYZ,Overall,Emotion,Other
T_I1A_5,Saya Percaya dengan layanan cabang - XYZ,Overall,Emotion,Other
T_I1A_8,Saya merasa Dihargai sebagai nasabah oleh cabang - XYZ,Overall,Emotion,Other
T_I1A_11,Saya merasa Diperhatikan sebagai nasabah oleh cabang - XYZ,Overall,Emotion,Other
T_I1A_14,Saya merasa Aman pada saat menggunakan layanan cabang - XYZ,Overall,Emotion,Other
T_I1A_17,Saya merasa Fokus pada saat menggunakan layanan cabang - XYZ,Overall,Emotion,Other
T_I1A_20,Layanan cabang Memanjakan Saya sebagai nasabah - XYZ,Overall,Emotion,Other
T_I1A_23,Saya merasa Tertarik dengan layanan cabang - XYZ,Overall,Emotion,Other
T_I1A_26,Layanan yang diberikan cabang membuat saya merasa Penuh Semangat - XYZ,Overall,Emotion,Other
T_I1A_29,Saya merasa Tidak Puas dengan layanan yang diberikan cabang - XYZ,Overall,Emotion,Other
T_I1A_32,Saya merasa Frustasi pada saat menggunakan layanan cabang - XYZ,Overall,Emotion,Other
T_I1A_35,Saya merasa Kecewa dengan layanan cabang - XYZ,Overall,Emotion,Other
T_I1A_38,Saya merasa Tertekan dengan layanan yang diberikan cabang - XYZ,Overall,Emotion,Other
T_I1A_41,Saya merasa Tidak Bahagia dengan layanan yang diberikan cabang - XYZ,Overall,Emotion,Other
T_I1A_44,Saya merasa Diabaikan pada saat menggunakan layanan cabang - XYZ,Overall,Emotion,Other
T_I1A_47,Saya merasa Tergesa-gesa pada saat menggunakan layanan cabang - XYZ,Overall,Emotion,Other
T_I1A_3,Saya merasa Bahagia pada saat menggunakan layanan cabang - kompetitor,Overall,Emotion,Other
T_I1A_6,Saya Percaya dengan layanan cabang - kompetitor,Overall,Emotion,Other
T_I1A_9,Saya merasa Dihargai sebagai nasabah oleh cabang - kompetitor,Overall,Emotion,Other
T_I1A_12,Saya merasa Diperhatikan sebagai nasabah oleh cabang - kompetitor,Overall,Emotion,Other
T_I1A_15,Saya merasa Aman pada saat menggunakan layanan cabang - kompetitor,Overall,Emotion,Other
T_I1A_18,Saya merasa Fokus pada saat menggunakan layanan cabang - kompetitor,Overall,Emotion,Other
T_I1A_21,Layanan cabang Memanjakan Saya sebagai nasabah - kompetitor,Overall,Emotion,Other
T_I1A_24,Saya merasa Tertarik dengan layanan cabang - kompetitor,Overall,Emotion,Other
T_I1A_27,Layanan yang diberikan cabang membuat saya merasa Penuh Semangat - kompetitor,Overall,Emotion,Other
T_I1A_30,Saya merasa Tidak Puas dengan layanan yang diberikan cabang - kompetitor,Overall,Emotion,Other
T_I1A_33,Saya merasa Frustasi pada saat menggunakan layanan cabang - kompetitor,Overall,Emotion,Other
T_I1A_36,Saya merasa Kecewa dengan layanan cabang - kompetitor,Overall,Emotion,Other
T_I1A_39,Saya merasa Tertekan dengan layanan yang diberikan cabang - kompetitor,Overall,Emotion,Other
T_I1A_42,Saya merasa Tidak Bahagia dengan layanan yang diberikan cabang - kompetitor,Overall,Emotion,Other
T_I1A_45,Saya merasa Diabaikan pada saat menggunakan layanan cabang - kompetitor,Overall,Emotion,Other
T_I1A_48,Saya merasa Tergesa-gesa pada saat menggunakan layanan cabang - kompetitor,Overall,Emotion,Other
T_J1_1,Bank XYZ sudah melakukan proses DIGITALISASI LAYANAN CABANG DENGAN BAIK,Overall,Digitalization,Other
T_J1_2,Keberadaan DIGITAL SIGNAGE di cabang XYZ MEMUDAHKAN saya sebagai nasabah dalam memperoleh informasi produk layanan XYZ,Overall,Digitalization,Other
T_J1_3,Keberadaan SMART TABLE di cabang XYZ MEMUDAHKAN bagi saya sebagai nasabah dalam dalam memperoleh informasi produk layanan XYZ(Note: JAWAB 999 JIKA CABANG TIDAK MEMILIKI SMART TABLE),Overall,Digitalization,Other
T_J1_4,Keberadaan TABLET SURVEY di cabang XYZ MEMUDAHKAN saya sebagai nasabah untuk memberikan penilaian layanan tim cabang,Overall,Digitalization,Other
T_J1_5,Akses ke cabang XYZ mudah,Overall,Digitalization,Other
T_J1A_1,Apakah alasan Anda menjawab skala _____ (Bacakan jawaban J1)?  (Bank XYZ sudah melakukan proses DIGITALISASI LAYANAN CABANG DENGAN BAIK - Menjawab {0}),Overall,Open Ended,Text Analysis
T_J1A_2,Apakah alasan Anda menjawab skala _____ (Bacakan jawaban J1)?  (Keberadaan DIGITAL SIGNAGE di cabang XYZ MEMUDAHKAN saya sebagai nasabah dalam memperoleh informasi produk layanan XYZ - Menjawab {0}),Overall,Open Ended,Text Analysis
T_J1A_3,Apakah alasan Anda menjawab skala _____ (Bacakan jawaban J1)?  (Keberadaan SMART TABLE di cabang XYZ MEMUDAHKAN bagi saya sebagai nasabah dalam dalam memperoleh informasi produk layanan XYZ - Menjawab {0}),Overall,Open Ended,Text Analysis
T_J1A_4,Apakah alasan Anda menjawab skala _____ (Bacakan jawaban J1)?  (Keberadaan TABLET SURVEY di cabang XYZ MEMUDAHKAN saya sebagai nasabah untuk memberikan penilaian layanan tim cabang - Menjawab {0}),Overall,Open Ended,Text Analysis
T_J1A_5,Apakah alasan Anda menjawab skala _____ (Bacakan jawaban J1)?  (Akses ke cabang XYZ mudah - Menjawab {0}),Overall,Open Ended,Text Analysis
T_J2_1,Menurut Bapak/Ibu apakah yang perlu diperbaiki dari Bank XYZ sehingga dapat menjadi lebih baik? (Bank XYZ sudah melakukan proses DIGITALISASI LAYANAN CABANG DENGAN BAIK),Overall,Digitalization,Other
T_J2_2,Menurut Bapak/Ibu apakah yang perlu diperbaiki dari Bank XYZ sehingga dapat menjadi lebih baik? (Keberadaan DIGITAL SIGNAGE di cabang XYZ MEMUDAHKAN saya sebagai nasabah dalam memperoleh informasi produk layanan XYZ),Overall,Digitalization,Other
T_J2_3,Menurut Bapak/Ibu apakah yang perlu diperbaiki dari Bank XYZ sehingga dapat menjadi lebih baik? (Keberadaan SMART TABLE di cabang XYZ MEMUDAHKAN bagi saya sebagai nasabah dalam dalam memperoleh informasi produk layanan XYZ),Overall,Digitalization,Other
T_J2_4,Menurut Bapak/Ibu apakah yang perlu diperbaiki dari Bank XYZ sehingga dapat menjadi lebih baik? (Keberadaan TABLET SURVEY di cabang XYZ MEMUDAHKAN saya sebagai nasabah untuk memberikan penilaian layanan tim cabang),Overall,Digitalization,Other
T_J2_5,Menurut Bapak/Ibu apakah yang perlu diperbaiki dari Bank XYZ sehingga dapat menjadi lebih baik? (Akses ke cabang XYZ mudah),Overall,Digitalization,Other
P1,Apa status pernikahan Bapak/Ibu saat ini?,,Demographic,Filter
P2,Berapa jumlah anak yg Bapak/Ibu miliki?,,Demographic,Filter
P3,Apakah pendidikan terakhir Bapak/Ibu?,,Demographic,Filter
P4,Apakah pekerjaan Bapak/Ibu saat ini?,,Demographic,Filter
Q_85_S,Others.12,,Other,Other
P5,"Berapakah rata-rata PENGELUARAN RUTIN KELUARGA Bapak/Ibu per bulannya untuk keperluan sehari-hari, tetapi tidak termasuk pengeluaran untuk rekreasi, pakaian, sepatu & pengeluaran non-rutin lain serta juga kredit-kredit seperti: mobil, rumah, elektronik, dll",,Demographic,Filter
P6,Berapakah rata-rata PENGHASILAN RUMAH TANGGA Bapak/Ibu per bulannya termasuk bonus dan pajakCatatan: Penghasilan Mahasiswa/i adalah uang saku yang didapatkan dari orang tua per bulan; Penghasilan Ibu Rumah Tangga adalah uang yang diberikan suami per bulan.,,Demographic,Filter
